DESCRIPCION_VIGIFLOW,DESCRIPCION_DHIS2,DESCRIPCION_HOMOLOGADA
SAN CARLOS (220353),SAN CARLOS (220353),SAN CARLOS
COTALO (180753),COTALO (180753),COTALO
LA MATRIZ (050104),LA MATRIZ (050104),LA MATRIZ
EL TABLON (111152),EL TABLON (111152),EL TABLON
BALZAR DE VINCES (120801),BALZAR DE VINCES (120801),BALZAR DE VINCES
JADAN (010353),JADAN (010353),JADAN
LA VICTORIA (URBANO) (071401),LA VICTORIA (URBANO) (071401),LA VICTORIA (URBANO)
PUERTO BOLIVAR (PUERTO MONTUFAR) (210352),PUERTO BOLIVAR (PUERTO MONTUFAR) (210352),PUERTO BOLIVAR (PUERTO MONTUFAR)
LUIS VARGAS TORRES (CAB. EN PLAYA DE ORO) (080255),LUIS VARGAS TORRES (CAB. EN PLAYA DE ORO) (080255),LUIS VARGAS TORRES (CAB. EN PLAYA DE ORO)
ZARACAY (230107),ZARACAY (230107),ZARACAY
SALIMA (080355),SALIMA (080355),SALIMA
DOCTOR MIGUEL EGAS CABEZAS (PEGUCHE) (100451),DOCTOR MIGUEL EGAS CABEZAS (PEGUCHE) (100451),DOCTOR MIGUEL EGAS CABEZAS (PEGUCHE)
CUMBARATZA (190151),CUMBARATZA (190151),CUMBARATZA
CARLOS ESPINOZA LARREA (240301),CARLOS ESPINOZA LARREA (240301),CARLOS ESPINOZA LARREA
MIRA (CHONTAHUASI) (040450),MIRA (CHONTAHUASI) (040450),MIRA (CHONTAHUASI)
*CHORDELEG (010351),*CHORDELEG (010351),*CHORDELEG (010351)
CAÑI (060351),CAÑI (060351),CAÑI
*EL CAMBIO (070151),*EL CAMBIO (070151),*EL CAMBIO (070151)
ALAQUEZ (ALAQUES) (050151),ALAQUEZ (ALAQUES) (050151),ALAQUEZ (ALAQUES)
UNION LOJANA (070705),UNION LOJANA (070705),UNION LOJANA
*EL PANGUI (190552),*EL PANGUI (190552),*EL PANGUI (190552)
ANGAMARCA (050451),ANGAMARCA (050451),ANGAMARCA
YAGUACHI VIEJO (CONE) (092055),YAGUACHI VIEJO (CONE) (092055),YAGUACHI VIEJO (CONE)
GIL RAMIREZ DAVALOS (010106),GIL RAMIREZ DAVALOS (010106),GIL RAMIREZ DAVALOS
COSANGA (150751),COSANGA (150751),COSANGA
MADRE TIERRA (160251),MADRE TIERRA (160251),MADRE TIERRA
BUENAVISTA (070951),BUENAVISTA (070951),BUENAVISTA
RIO VERDE (230105),RIO VERDE (230105),RIO VERDE
CEBADAS (060651),CEBADAS (060651),CEBADAS
CORONEL MARCELINO MARIDUEÑA (SAN CARLOS) (092350),CORONEL MARCELINO MARIDUEÑA (SAN CARLOS) (092350),CORONEL MARCELINO MARIDUEÑA (SAN CARLOS)
CAÑARIBAMBA (010102),CAÑARIBAMBA (010102),CAÑARIBAMBA
MANGA DEL CURA (900351),MANGA DEL CURA (900351),MANGA DEL CURA
CAYAMBE (RURAL) (170250),CAYAMBE (RURAL) (170250),CAYAMBE (RURAL)
BALZAR (090450),BALZAR (090450),BALZAR
MINDO (170751),MINDO (170751),MINDO
URBINA (TAYA) (040158),URBINA (TAYA) (040158),URBINA (TAYA)
LA MATRIZ (180107),LA MATRIZ (180107),LA MATRIZ
CORONEL CARLOS CONCHA TORRES (CAB. EN HUELE) (080153),CORONEL CARLOS CONCHA TORRES (CAB. EN HUELE) (080153),CORONEL CARLOS CONCHA TORRES (CAB. EN HUELE)
ATUNTAQUI (URBANO) (100202),ATUNTAQUI (URBANO) (100202),ATUNTAQUI (URBANO)
PINTAG (170176),PINTAG (170176),PINTAG
GENERAL PROAÑO (140153),GENERAL PROAÑO (140153),GENERAL PROAÑO
PEDERNALES (131750),PEDERNALES (131750),PEDERNALES
RIO BONITO (070654),RIO BONITO (070654),RIO BONITO
MAJUA (080159),MAJUA (080159),MAJUA
TUUTINENTZA (140953),TUUTINENTZA (140953),TUUTINENTZA
SANTA ANA DE VUELTA LARGA (131350),SANTA ANA DE VUELTA LARGA (131350),SANTA ANA DE VUELTA LARGA
LA MAGDALENA (CHAPACOTO) (020353),LA MAGDALENA (CHAPACOTO) (020353),LA MAGDALENA (CHAPACOTO)
NUEVO SANTA ROSA (071205),NUEVO SANTA ROSA (071205),NUEVO SANTA ROSA
HONORATO VASQUEZ (TAMBO VIEJO) (030355),HONORATO VASQUEZ (TAMBO VIEJO) (030355),HONORATO VASQUEZ (TAMBO VIEJO)
4 DE DICIEMBRE (130402),4 DE DICIEMBRE (130402),4 DE DICIEMBRE
LOJA (110150),LOJA (110150),LOJA
*FUNDOCHAMBA (110752),*FUNDOCHAMBA (110752),*FUNDOCHAMBA (110752)
ZAPOTILLO (111350),ZAPOTILLO (111350),ZAPOTILLO
*PEDRO VICENTE MALDONADO (170752),*PEDRO VICENTE MALDONADO (170752),*PEDRO VICENTE MALDONADO (170752)
ECHEANDIA (020450),ECHEANDIA (020450),ECHEANDIA
COCHAPAMBA (050653),COCHAPAMBA (050653),COCHAPAMBA
CARLOS JULIO AROSEMENA TOLA (150152),CARLOS JULIO AROSEMENA TOLA (150152),CARLOS JULIO AROSEMENA TOLA
ISINLIVI (050752),ISINLIVI (050752),ISINLIVI
*QUILANGA (LA PAZ) (110755),*QUILANGA (LA PAZ) (110755),*QUILANGA (LA PAZ) (110755)
SALVIAS (071359),SALVIAS (071359),SALVIAS
SICALPA (060302),SICALPA (060302),SICALPA
PALO QUEMADO (050754),PALO QUEMADO (050754),PALO QUEMADO
EL SALTO (120104),EL SALTO (120104),EL SALTO
DIEZ DE AGOSTO (160154),DIEZ DE AGOSTO (160154),DIEZ DE AGOSTO
LUMBAQUI (210250),LUMBAQUI (210250),LUMBAQUI
MULALO (050156),MULALO (050156),MULALO
JIJON Y CAAMAÑO (CAB. EN RIO BLANCO) (040452),JIJON Y CAAMAÑO (CAB. EN RIO BLANCO) (040452),JIJON Y CAAMAÑO (CAB. EN RIO BLANCO)
QUISAPINCHA (QUIZAPINCHA) (180162),QUISAPINCHA (QUIZAPINCHA) (180162),QUISAPINCHA (QUIZAPINCHA)
VICHE (080454),VICHE (080454),VICHE
LA ESPERANZA (100154),LA ESPERANZA (100154),LA ESPERANZA
BORBON (080253),BORBON (080253),BORBON
PUERTO JELI (071202),PUERTO JELI (071202),PUERTO JELI
MULALILLO (050553),MULALILLO (050553),MULALILLO
LA TOLA (080254),LA TOLA (080254),LA TOLA
SAN BLAS (100654),SAN BLAS (100654),SAN BLAS
VICENTE PIEDRAHITA (090608),VICENTE PIEDRAHITA (090608),VICENTE PIEDRAHITA
CHAVEZPAMBA (170158),CHAVEZPAMBA (170158),CHAVEZPAMBA
MUISNE (080350),MUISNE (080350),MUISNE
MILAGROS (111453),MILAGROS (111453),MILAGROS
WILFRIDO LOOR MOREIRA (MAICITO) (130451),WILFRIDO LOOR MOREIRA (MAICITO) (130451),WILFRIDO LOOR MOREIRA (MAICITO)
TUPIGACHI (170454),TUPIGACHI (170454),TUPIGACHI
ANCON (PICHANGAL) (CAB. EN PALMA REAL) (080552),ANCON (PICHANGAL) (CAB. EN PALMA REAL) (080552),ANCON (PICHANGAL) (CAB. EN PALMA REAL)
SAN PEDRO DE SUMA (130452),SAN PEDRO DE SUMA (130452),SAN PEDRO DE SUMA
CURARAY (160451),CURARAY (160451),CURARAY
ASUNCION (ASANCOTO) (020351),ASUNCION (ASANCOTO) (020351),ASUNCION (ASANCOTO)
*PEDERNALES (131456),*PEDERNALES (131456),*PEDERNALES (131456)
LA FERROVIARIA (170119),LA FERROVIARIA (170119),LA FERROVIARIA
ROSA ZARATE (QUININDE) (080450),ROSA ZARATE (QUININDE) (080450),ROSA ZARATE (QUININDE)
*RÍO VERDE (080161),*RÍO VERDE (080161),*RÍO VERDE (080161)
PORTOVIEJO (RURAL) (130150),PORTOVIEJO (RURAL) (130150),PORTOVIEJO (RURAL)
RUMIPAMBA (170552),RUMIPAMBA (170552),RUMIPAMBA
PEDRO PABLO GOMEZ (130657),PEDRO PABLO GOMEZ (130657),PEDRO PABLO GOMEZ
PISTISHI (NARIZ DEL DIABLO) (060256),PISTISHI (NARIZ DEL DIABLO) (060256),PISTISHI (NARIZ DEL DIABLO)
CHARAPOTO (131453),CHARAPOTO (131453),CHARAPOTO
TADAY (030160),TADAY (030160),TADAY
MARISCAL SUCRE (HUAQUES) (091053),MARISCAL SUCRE (HUAQUES) (091053),MARISCAL SUCRE (HUAQUES)
SAN JUAN DE CERRO AZUL (070355),SAN JUAN DE CERRO AZUL (070355),SAN JUAN DE CERRO AZUL
ATAHUALPA (CAB. EN CAMARONES) (080252),ATAHUALPA (CAB. EN CAMARONES) (080252),ATAHUALPA (CAB. EN CAMARONES)
*TAMBO (030360),*TAMBO (030360),*TAMBO (030360)
*TUUTINENTZA (140161),*TUUTINENTZA (140161),*TUUTINENTZA (140161)
SANTA CLARA (160350),SANTA CLARA (160350),SANTA CLARA
PONCEANO (170124),PONCEANO (170124),PONCEANO
LAS PIÑAS (091009),LAS PIÑAS (091009),LAS PIÑAS
PALMAS (011352),PALMAS (011352),PALMAS
MACHALA (URBANO) (070102),MACHALA (URBANO) (070102),MACHALA (URBANO)
BARREIRO (SANTA RITA) (120151),BARREIRO (SANTA RITA) (120151),BARREIRO (SANTA RITA)
*EL PORVENIR DEL CARMEN (190253),*EL PORVENIR DEL CARMEN (190253),*EL PORVENIR DEL CARMEN (190253)
BAQUERIZO MORENO (180851),BAQUERIZO MORENO (180851),BAQUERIZO MORENO
CHIGUAZA (140751),CHIGUAZA (140751),CHIGUAZA
